gene_name	transcript	strand	tx_start	tx_end	tx_len	cds_start	cds_end	exon_count	exon_starts	exon_ends	exon_lengths
FRG1FP	NR_132320	-	10940596	10961529	20933	10961529	10961529	9	10940596,10941688,10944966,10947303,10949211,10950048,10959066,10960331,10961282	10940707,10941780,10945053,10947418,10949269,10950174,10959136,10960431,10961529	111,92,87,115,58,126,70,100,247
LOC102723769	NR_110761	+	11897405	11956534	59129	11956534	11956534	3	11897405,11910165,11955270	11897467,11910219,11956534	62,54,1264
OR11H1	NM_001005239	+	15528158	15529139	981	15528158	15529139	1	15528158	15529139	981
POTEH	NM_001136213	+	15690025	15721631	31606	15690077	15719777	11	15690025,15695370,15695644,15698661,15700077,15702685,15708019,15709781,15710867,15719659,15721285	15690709,15695485,15695818,15698768,15700215,15702756,15708090,15709826,15711034,15719778,15721631	684,115,174,107,138,71,71,45,167,119,346
POTEH-AS1	NR_046571	-	15700385	15703354	2969	15703354	15703354	2	15700385,15702959	15701482,15703354	1097,395
PSLNR	NR_132385	+	15740892	15778285	37393	15778285	15778285	4	15740892,15746629,15754387,15778009	15741435,15746899,15754453,15778285	543,270,66,276
DUXAP8	NR_122113	+	15784953	15827434	42481	15827434	15827434	8	15784953,15787171,15788584,15788819,15790660,15791009,15815475,15826141	15785057,15787282,15788699,15788931,15790798,15791152,15815566,15827434	104,111,115,112,138,143,91,1293
BMS1P18	NR_073459	-	15805697	15815897	10200	15815897	15815897	3	15805697,15813393,15815574	15806011,15813481,15815897	314,88,323
BMS1P17	NR_073460	-	15805697	15815897	10200	15815897	15815897	3	15805697,15813393,15815574	15806011,15813481,15815897	314,88,323
BMS1P22	NR_133911	-	15805697	15820884	15187	15820884	15820884	3	15805697,15813393,15820620	15806011,15813481,15820884	314,88,264
CCT8L2	NM_014406	-	16590750	16592810	2060	16590876	16592550	1	16590750	16592810	2060
TPTEP1	NR_001591	+	16601910	16648830	46920	16648830	16648830	9	16601910,16611657,16614076,16622840,16637039,16638578,16647167,16647662,16648526	16602215,16611893,16614178,16622897,16637090,16638740,16647257,16647785,16648830	305,236,102,57,51,162,90,123,304
ANKRD62P1-PARP4P3	NR_040115	-	16653708	16675540	21832	16675540	16675540	9	16653708,16659496,16659857,16661475,16669461,16670216,16671517,16673599,16675122	16654076,16659628,16659969,16661555,16669620,16670261,16671588,16673752,16675540	368,132,112,80,159,45,71,153,418
LINC01665	NR_134584	-	16746868	16748438	1570	16748438	16748438	2	16746868,16748275	16747739,16748438	871,163
XKR3	NM_001318251	-	16783415	16821699	38284	16783618	16808073	4	16783415,16799770,16807738,16821606	16784409,16800024,16808086,16821699	994,254,348,93
HSFY1P1	NR_003607	+	16827473	16829335	1862	16829335	16829335	2	16827473,16828541	16828060,16829335	587,794
GAB4	NM_001366857	-	16961935	17008222	46287	16962732	17008114	8	16961935,16963724,16964765,16965177,16966099,16968297,16991872,17007940	16962876,16963829,16964862,16965268,16966364,16968383,16992176,17008222	941,105,97,91,265,86,304,282
CECR7	NR_015352	+	17036569	17060070	23501	17060070	17060070	4	17036569,17044872,17047323,17057072	17037344,17045000,17047426,17060070	775,128,103,2998
IL17RA	NM_001289905	+	17084958	17115694	30736	17085091	17109820	12	17084958,17097061,17097796,17098774,17100354,17101995,17102138,17103493,17104725,17105590,17107726,17108306	17085229,17097086,17097943,17098887,17100481,17102043,17102302,17103577,17104810,17105602,17107768,17115694	271,25,147,113,127,48,164,84,85,12,42,7388
TMEM121B	NM_001163079	-	17116296	17121360	5064	17119390	17120062	2	17116296,17121251	17120143,17121360	3847,109
LINC01664	NR_103793	+	17121594	17132104	10510	17132104	17132104	4	17121594,17124654,17130361,17131614	17122039,17124771,17130484,17132104	445,117,123,490
HDHD5	NM_017829	-	17137519	17165287	27768	17138020	17165244	8	17137519,17138549,17141058,17143097,17145023,17148447,17149541,17165208	17138357,17138738,17141233,17143131,17145117,17148560,17149745,17165287	838,189,175,34,94,113,204,79
HDHD5-AS1	NR_024482	+	17159388	17165445	6057	17165445	17165445	2	17159388,17165268	17159551,17165445	163,177
ADA2	NM_001282227	-	17178789	17221848	43059	17181482	17209551	10	17178789,17181819,17182603,17188338,17189941,17191682,17203562,17207070,17209355,17221726	17181576,17182022,17182761,17188447,17190032,17191810,17203773,17207290,17209598,17221848	2787,203,158,109,91,128,211,220,243,122
CECR3	NR_038398	-	17256859	17266733	9874	17266733	17266733	3	17256859,17260789,17266522	17258306,17261045,17266733	1447,256,211
CECR2	NM_001290046	+	17359948	17558155	198207	17499493	17552840	19	17359948,17477587,17497402,17499409,17500630,17503081,17504846,17511812,17524117,17537102,17538519,17538639,17538992,17540411,17541838,17542156,17548150,17552030,17552834	17360023,17477682,17497586,17499549,17500735,17503131,17505016,17511896,17524271,17537232,17538557,17538731,17539119,17540800,17541967,17543003,17549564,17552142,17558155	75,95,184,140,105,50,170,84,154,130,38,92,127,389,129,847,1414,112,5321
SLC25A18	NM_031481	+	17563497	17590995	27498	17579944	17590236	11	17563497,17569923,17579744,17581036,17581357,17582562,17583415,17587135,17587924,17589589,17590094	17563713,17569986,17579964,17581159,17581413,17582653,17583534,17587301,17588079,17589665,17590995	216,63,220,123,56,91,119,166,155,76,901
LOC101929372	NM_001288707	-	17580156	17589192	9036	17580313	17588018	4	17580156,17581333,17585264,17587866	17580331,17581548,17585386,17589192	175,215,122,1326
ATP6V1E1	NM_001039366	-	17592135	17628822	36687	17592673	17628635	8	17592135,17594528,17598193,17600026,17601091,17612811,17613210,17628602	17592736,17594616,17598288,17600095,17601181,17612878,17613320,17628822	601,88,95,69,90,67,110,220
BCL2L13	NM_001270735	+	17638583	17730855	92272	17655711	17726690	4	17638583,17655661,17683213,17726676	17638886,17655832,17683321,17730855	303,171,108,4179
BID	NM_001244567	-	17734139	17774665	40526	17735579	17750116	6	17734139,17738016,17739348,17743802,17750104,17774639	17735591,17738229,17739488,17744013,17750174,17774665	1452,213,140,211,70,26
MIR3198-1	NR_036168	-	17764179	17764259	80	17764259	17764259	1	17764179	17764259	80
LINC00528	NR_103718	+	17777289	17779481	2192	17779481	17779481	1	17777289	17779481	2192
MICAL3	NM_015241	-	17787649	18024561	236912	17790731	17906812	32	17787649,17790997,17791201,17808843,17810702,17816689,17817310,17821426,17822029,17822946,17827643,17831853,17841821,17864898,17865923,17871836,17885877,17887169,17887322,17889033,17891484,17893807,17895283,17896245,17896723,17899447,17900841,17901877,17902630,17904631,17906548,18024280	17790916,17791071,17791301,17808937,17810813,17816784,17819129,17821509,17822170,17823060,17827781,17832107,17842017,17864986,17866012,17872023,17886051,17887232,17887435,17889230,17891632,17893904,17895410,17896361,17896981,17899548,17900997,17901979,17902747,17904839,17906886,18024561	3267,74,100,94,111,95,1819,83,141,114,138,254,196,88,89,187,174,63,113,197,148,97,127,116,258,101,156,102,117,208,338,281
MIR648	NR_030378	-	17980867	17980961	94	17980961	17980961	1	17980867	17980961	94
LINC01634	NR_024417	+	18029384	18037968	8584	18037968	18037968	2	18029384,18035759	18029554,18037968	170,2209
PEX26	NM_001127649	+	18077989	18105396	27407	18078376	18088075	5	18077989,18079873,18083436,18085111,18087971	18078606,18080014,18083732,18085258,18105396	617,141,296,147,17425
TUBA8	NM_018943	+	18110808	18131732	20924	18110865	18131136	5	18110808,18121478,18124155,18126353,18130842	18110868,18121701,18124304,18127034,18131732	60,223,149,681,890
USP18	NM_017414	+	18150169	18177395	27226	18157663	18176817	11	18150169,18157557,18160171,18161789,18167254,18167889,18169843,18170752,18173149,18173792,18176771	18150222,18157820,18160268,18161935,18167334,18168036,18169939,18170920,18173281,18173842,18177395	53,263,97,146,80,147,96,168,132,50,624
